Country,Stock Code,Quantity
Australia,22094,-5
Austria,22153,-48
Bahrain,22423,2
Belgium,37449,-1
Brazil,23049,2
Canada,22423,1
Channel Islands,M,0
Cyprus,22839,0
Czech Republic,84459A,-24
Denmark,22846,0
EIRE,21144,-12
European Community,22424,1
Finland,22487,1
France,M,-16
Germany,22998,-20
Greece,22803,1
Hong Kong,M,0
Iceland,85232D,3
Israel,22474,-32
Italy,20980,-9
Japan,M,-3
Lebanon,22844,2
Lithuania,20681,6
Malta,22768,-1
Netherlands,M,-480
Norway,21791,0
Poland,22796,0
Portugal,21643,0
RSA,M,1
Saudi Arabia,22361,1
Singapore,M,0
Spain,M,-3
Sweden,85232B,0
Switzerland,84012,0
USA,20750,0
United Arab Emirates,POST,1
United Kingdom,23005,-14468
Unspecified,20712,1
